ac_no,ac_name,district,state,region,reserved_for,candidate_name,party,alliance,is_incumbent,education,profession,age,gender,assets,liabilities,criminal_cases,literacy,community,eci_approved,party_approved,nomination_status,nomination_date,affidavit_url,eci_candidate_id,contact,website,x_handle,source,predicted_winner
1,Gummidipoondi,Tiruvallur,Tamil Nadu,NORTH,GEN,P. Karthikeyan,DMK,SPA,True,Doctorate,,,,Γé╣6.2 Cr,,1,86.00029875985135,,False,False,,,,,,,,curated,SPA
1,Gummidipoondi,Tiruvallur,Tamil Nadu,NORTH,GEN,S. Ranganathan,AIADMK,NDA,False,Graduate,,,,Γé╣49.0 Cr,,2,87.41421590588705,,False,False,,,,,,,,curated,SPA
1,Gummidipoondi,Tiruvallur,Tamil Nadu,NORTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣29.9 Cr,,1,91.00700212671678,,False,False,,,,,,,,curated,SPA
1,Gummidipoondi,Tiruvallur,Tamil Nadu,NORTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣6.2 Cr,,0,94.00651073321994,,False,False,,,,,,,,curated,SPA
2,Constituency #2,Tenkasi,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣27.6 Cr,,2,93.81563487617707,,False,False,,,,,,,,curated,SPA
2,Constituency #2,Tenkasi,Tamil Nadu,SOUTH,GEN,NDA Nominee,BJP,NDA,False,12th Pass,,,,Γé╣25.7 Cr,,2,88.3497892010675,,False,False,,,,,,,,curated,SPA
2,Constituency #2,Tenkasi,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣9.2 Cr,,1,89.75591416099157,,False,False,,,,,,,,curated,SPA
2,Constituency #2,Tenkasi,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣33.4 Cr,,0,89.88684280261907,,False,False,,,,,,,,curated,SPA
3,Constituency #3,Kanyakumari,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,False,12th Pass,,,,Γé╣16.5 Cr,,0,90.87042906263096,,False,False,,,,,,,,curated,NDA
3,Constituency #3,Kanyakumari,Tamil Nadu,SOUTH,GEN,NDA Nominee,PMK,NDA,True,12th Pass,,,,Γé╣41.7 Cr,,0,86.4259264951085,,False,False,,,,,,,,curated,NDA
3,Constituency #3,Kanyakumari,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣49.0 Cr,,1,93.15567308715697,,False,False,,,,,,,,curated,NDA
3,Constituency #3,Kanyakumari,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣17.8 Cr,,2,93.14598107602693,,False,False,,,,,,,,curated,NDA
4,Constituency #4,Ramanathapuram,Tamil Nadu,SOUTH,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣34.7 Cr,,1,91.62248420075721,,False,False,,,,,,,,curated,NDA
4,Constituency #4,Ramanathapuram,Tamil Nadu,SOUTH,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣26.9 Cr,,1,86.32252908156727,,False,False,,,,,,,,curated,NDA
4,Constituency #4,Ramanathapuram,Tamil Nadu,SOUTH,GEN,TVK Nominee,TVK,TVK,False,12th Pass,,,,Γé╣10.9 Cr,,2,91.58871939769043,,False,False,,,,,,,,curated,NDA
4,Constituency #4,Ramanathapuram,Tamil Nadu,SOUTH,GEN,NTK Nominee,NTK,NTK,False,12th Pass,,,,Γé╣3.3 Cr,,2,94.19821265272564,,False,False,,,,,,,,curated,NDA
5,Constituency #5,Pudukkottai,Tamil Nadu,CENTRAL,GEN,SPA Nominee,DMK,SPA,True,12th Pass,,,,Γé╣12.7 Cr,,1,89.9944874974441,,False,False,,,,,,,,curated,SPA
5,Constituency #5,Pudukkottai,Tamil Nadu,CENTRAL,GEN,NDA Nominee,AIADMK,NDA,False,Doctorate,,,,Γé╣28.1 Cr,,0,88.83161750621406,,False,False,,,,,,,,curated,SPA
